出品者SKU	ASIN 1	商品名	商品の説明	出品ID	価格	数量	出品日	商品IDタイプ	コンディション説明	コンディション	国外へ配送可	迅速な配送	商品ID	在庫数	フルフィルメント・チャンネル	使用しない支払い方法	配送日時指定SKUリスト	merchant-shipping-group	ポイント	商品税コード	調達タイプ
27-SV7G-UFVP	B07Z443MFD	【Smart-KM】B044 HUAWEI P30/P30 lite/P30 Pro/P20/P20 lite/P20 Pro/ P10 / P10 Plusカメラ保護ガラスフィルム 全面保護 耐衝撃 指紋防止 気泡ゼロ スクラッチ防止 超薄型 2枚セット (P10)		0919Y2UIM9M	398	19	2021/09/19 13:47:29 JST	1		11			B07Z443MFD	0	DEFAULT			移行された配送パターン	4		INSTOCK
28-JBW4-RJOM	B098DWTGXY	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (グリーン, measurement_22_point_5_centimeters)		0701YQZ71EY	2380		2021/07/01 17:37:10 JST	3		11			703556069612		AMAZON_JP			移行された配送パターン	24		INSTOCK
29-0QHZ-UD4C	B07STH54RG	【Smart-Bear】T003 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 リュック対応 トリ 果物 花柄 (M, ピンク)		0607VZQDHKU	1780		2019/06/07 10:15:59 JST	3		11			703556063375		AMAZON_JP			移行された配送パターン	18		INSTOCK
2A-4FUA-XKMU	B07SPWL813	【Smart-Bear】W017 可愛い キッズ 子供 靴下 ソックス お姫様 通気6足 セット カラフル 女の子 薄め (S)		0605VVXH648	1580		2019/06/05 10:34:19 JST	3		11			703556063290		AMAZON_JP			移行された配送パターン	16		INSTOCK
2C-JXSK-JWTF	B07SPW68PB	【Smart-Bear】W015 子供の靴下 キッズ 靴下 子供 カラフル 可愛い くつした 女の子 ソックス 綿 5足セット (S)		0605VWWN54O	1280	5	2019/06/05 09:53:30 JST	3		11			703556063238	0	DEFAULT			移行された配送パターン	13		INSTOCK
2H-KCMM-7HS3	B089XVC243	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_19_point_0_centimeters)		0610XMSS9TV	2380		2020/06/10 10:27:25 JST	3		11			703556068509		AMAZON_JP			移行された配送パターン	24		INSTOCK
2N-YXQP-8NK5	B0888D9C3Y	【Smart-Bear】W001 子供の靴下 ソックス 綿 メッシュ素材 薄型 春夏適用 通学 男の子 女の子 キッズ 通園 通学 5足セット (S)		0507X7TIX92	1280		2020/05/07 18:26:54 JST	3		11			703556067601		AMAZON_JP			移行された配送パターン	13		INSTOCK
2T-CEDX-VBNH	B0888CBJL3	【Smart-Bear】W001 子供の靴下 ソックス 綿 メッシュ素材 薄型 春夏適用 通学 男の子 女の子 キッズ 通園 通学 5足セット (XL)		0507X7Q3OTR	1280		2020/05/07 18:26:54 JST	3		11			703556067632		AMAZON_JP			移行された配送パターン	13		INSTOCK
2T-HEXS-COB6	B07RR71B1P	【Smart-bear】T006 レインコート レインウェア 雨具 キッズ 子供 レインコート 可愛い 超軽量 通学 サメ (L, グレー)		0510VDJJY1C	2180		2019/05/10 10:29:14 JST	3		11			703556062187		AMAZON_JP			移行された配送パターン	22		INSTOCK
2T-ZO0G-08M7	B089Y7WWQ5	[Smart-Bear] T308 キッズ レインブーツ レインシューズ 子供用 長靴 男の子 女の子 雨靴 ゴム長靴 滑り止め 通園・通学・アウトドア遊び用 完全防水 雪遊び 滑りにくい 梅雨対策 (ブルー, measurement_20_point_0_centimeters)		0610XND8A3X	2380		2020/06/10 10:27:25 JST	3		11			703556068547		AMAZON_JP			移行された配送パターン	24		INSTOCK
